date,stock,return_rate
2023-01-30,000419.SZ,1.13%
2022-12-27,000587.SZ,5.10%
2023-01-10,000610.SZ,-2.18%
2023-01-16,000620.SZ,-3.10%
2023-03-02,000635.SZ,3.76%
2023-01-30,000715.SZ,0.16%
2023-02-21,000831.SZ,-1.27%
2023-01-30,000909.SZ,-0.70%
2023-02-14,000962.SZ,0.63%
2023-02-09,001236.SZ,-5.93%
2023-02-01,001298.SZ,4.36%
2023-02-02,002043.SZ,-2.39%
2023-03-01,002190.SZ,-0.80%
2023-02-15,002209.SZ,-4.08%
2023-01-31,002235.SZ,10.04%
2023-01-30,002291.SZ,0.13%
2023-01-16,002306.SZ,-3.30%
2023-02-15,002347.SZ,-3.76%
2023-02-20,002348.SZ,-2.15%
2023-03-02,002354.SZ,-1.77%
2023-02-14,002401.SZ,-0.92%
2023-01-30,002441.SZ,-1.81%
2023-02-15,002512.SZ,-4.04%
2023-02-09,002560.SZ,-4.25%
2023-03-01,002626.SZ,-1.04%
2023-01-12,002719.SZ,-10.00%
2023-02-16,002757.SZ,-4.68%
2023-02-14,002835.SZ,1.00%
2023-02-14,002842.SZ,0.40%
2023-02-14,002848.SZ,0.44%
2023-03-01,002855.SZ,0.97%
2023-03-01,002882.SZ,0.98%
2023-01-11,002933.SZ,0.50%
2023-02-20,300071.SZ,-1.45%
2023-02-15,300096.SZ,-0.28%
2023-02-10,300227.SZ,-1.32%
2023-02-23,300317.SZ,2.49%
2023-02-28,300418.SZ,13.56%
2023-03-01,300474.SZ,3.99%
2023-02-24,300476.SZ,-3.90%
2023-03-01,300501.SZ,-2.67%
2023-03-01,300520.SZ,-0.69%
2023-01-19,300573.SZ,-0.27%
2023-02-22,300580.SZ,1.68%
2023-01-20,300585.SZ,-1.98%
2023-01-20,300594.SZ,1.18%
2023-02-27,300603.SZ,0.95%
2023-03-01,300624.SZ,10.82%
2023-02-24,300716.SZ,-7.11%
2023-01-20,301023.SZ,-2.93%
2023-01-31,301046.SZ,-3.01%
2023-01-19,301066.SZ,-0.59%
2023-01-19,301153.SZ,-4.27%
2023-02-28,301205.SZ,4.18%
2023-01-30,301268.SZ,-0.78%
2023-01-20,600187.SH,2.42%
2023-01-16,600225.SH,0.00%
2023-02-13,600418.SH,-1.78%
2023-01-17,600576.SH,-1.10%
2023-02-21,600705.SH,-0.90%
2023-03-01,603059.SH,1.73%
2023-01-31,603390.SH,0.51%
2023-01-20,603595.SH,-1.59%
2023-02-20,688020.SH,0.85%
2023-03-01,688027.SH,1.66%
2023-02-23,688039.SH,11.40%
2023-02-28,688217.SH,-1.63%
2023-02-16,688316.SH,-7.99%
2023-02-24,688365.SH,-3.29%
2023-03-01,688466.SH,-0.05%
2023-02-28,688787.SH,7.52%
2023-02-22,831087.BJ,-1.23%
2023-02-13,831526.BJ,-1.79%
2023-02-13,832876.BJ,-1.54%
2023-02-13,835207.BJ,-1.12%
